Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
1,karger_recursive,227,0,5808
1,karger_improved,227,34,42
1,karger,227,93,21
2,karger_recursive,7,0,48
2,karger_improved,7,2,6
2,karger,7,2,3
3,karger_recursive,0,-1,0
3,karger_improved,0,0,0
3,karger,0,0,0
4,karger_recursive,37,0,600
4,karger_improved,37,13,18
4,karger,37,20,9
5,karger_recursive,209,0,5808
5,karger_improved,209,92,42
5,karger,209,111,21
6,karger_recursive,0,0,0
6,karger_improved,0,0,0
6,karger,0,0,0
7,karger_recursive,102,0,2304
7,karger_improved,102,48,30
7,karger,102,34,15
8,karger_recursive,0,-1,0
8,karger_improved,0,0,0
8,karger,0,0,0
9,karger_recursive,0,0,0
9,karger_improved,0,0,0
9,karger,0,0,0
10,karger_recursive,87,0,1568
10,karger_improved,87,21,26
10,karger,87,43,13
11,karger_recursive,10,0,48
11,karger_improved,10,4,6
11,karger,10,6,3
12,karger_recursive,30,4,400
12,karger_improved,30,6,16
12,karger,30,12,8
13,karger_recursive,21,0,1274
13,karger_improved,21,7,24
13,karger,21,5,12
14,karger_recursive,24,4,280
14,karger_improved,24,8,14
14,karger,24,12,7
15,karger_recursive,162,8,8112
15,karger_improved,162,38,48
15,karger,162,36,24
16,karger_recursive,129,0,5082
16,karger_improved,129,12,40
16,karger,129,56,20
17,karger_recursive,0,-1,0
17,karger_improved,0,0,0
17,karger,0,0,0
18,karger_recursive,33,6,280
18,karger_improved,33,17,14
18,karger,33,17,7
19,karger_recursive,53,0,600
19,karger_improved,53,26,18
19,karger,53,26,9
20,karger_recursive,1,1,0
20,karger_improved,1,1,0
20,karger,1,1,0
21,karger_recursive,111,0,3800
21,karger_improved,111,30,36
21,karger,111,20,18
22,karger_recursive,102,0,2754
22,karger_improved,102,22,32
22,karger,102,36,16
23,karger_recursive,1,0,12
23,karger_improved,1,0,2
23,karger,1,0,1
24,karger_recursive,74,3,8112
24,karger_improved,74,3,48
24,karger,74,5,24
25,karger_recursive,330,19,10192
25,karger_improved,330,126,52
25,karger,330,46,26
26,karger_recursive,182,0,5808
26,karger_improved,182,48,42
26,karger,182,78,21
27,karger_recursive,0,-1,0
27,karger_improved,0,0,0
27,karger,0,0,0
28,karger_recursive,8,0,420
28,karger_improved,8,0,14
28,karger,8,0,7
29,karger_recursive,1,0,8
29,karger_improved,1,0,2
29,karger,1,0,1
30,karger_recursive,170,0,6624
30,karger_improved,170,40,44
30,karger,170,35,22
31,karger_recursive,21,0,5616
31,karger_improved,21,0,36
31,karger,21,0,18
32,karger_recursive,10,0,1280
32,karger_improved,10,0,20
32,karger,10,0,10
33,karger_recursive,95,3,10192
33,karger_improved,95,30,52
33,karger,95,3,26
34,karger_recursive,41,7,400
34,karger_improved,41,19,16
34,karger,41,23,8
35,karger_recursive,179,0,5808
35,karger_improved,179,53,42
35,karger,179,85,21
36,karger_recursive,0,0,0
36,karger_improved,0,0,0
36,karger,0,0,0
37,karger_recursive,13,0,90
37,karger_improved,13,7,8
37,karger,13,8,4
38,karger_recursive,1,0,24
38,karger_improved,1,0,2
38,karger,1,0,1
39,karger_recursive,52,0,5082
39,karger_improved,52,3,40
39,karger,52,13,20
40,karger_recursive,238,15,7176
40,karger_improved,238,22,46
40,karger,238,79,23
41,karger_recursive,63,0,1274
41,karger_improved,63,16,24
41,karger,63,31,12
42,karger_recursive,21,4,192
42,karger_improved,21,5,12
42,karger,21,6,6
43,karger_recursive,17,0,2016
43,karger_improved,17,0,28
43,karger,17,0,14
44,karger_recursive,42,0,3240
44,karger_improved,42,4,34
44,karger,42,2,17
45,karger_recursive,111,3,9100
45,karger_improved,111,6,50
45,karger,111,49,25
46,karger_recursive,51,0,1274
46,karger_improved,51,14,24
46,karger,51,7,12
47,karger_recursive,15,3,120
47,karger_improved,15,3,10
47,karger,15,8,5
48,karger_recursive,259,12,10192
48,karger_improved,259,55,52
48,karger,259,50,26
49,karger_recursive,218,9,11340
49,karger_improved,218,34,54
49,karger,218,14,27
50,karger_recursive,215,0,5808
50,karger_improved,215,61,42
50,karger,215,35,21
51,karger_recursive,30,4,400
51,karger_improved,30,5,16
51,karger,30,9,8
52,karger_recursive,0,-1,0
52,karger_improved,0,0,0
52,karger,0,0,0
53,karger_recursive,234,13,7176
53,karger_improved,234,18,46
53,karger,234,45,23
54,karger_recursive,0,0,0
54,karger_improved,0,0,0
54,karger,0,0,0
55,karger_recursive,226,0,6624
55,karger_improved,226,67,44
55,karger,226,22,22
56,karger_recursive,13,0,1008
56,karger_improved,13,1,22
56,karger,13,1,11
57,karger_recursive,236,10,11340
57,karger_improved,236,57,54
57,karger,236,118,27
