Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
1,karger_recursive_a1.1_b7,11,2,35
1,karger_recursive_a1.1_b14,11,2,70
1,karger_recursive_a1.1_b21,11,2,105
1,karger_recursive_a1.1_b28,11,2,140
1,karger_recursive_a1.1_b35,11,2,175
1,karger_recursive_a1.1_b42,11,2,210
1,karger_recursive_a1.1_b49,11,2,245
1,karger_recursive_a1.2_b7,11,2,35
1,karger_recursive_a1.2_b14,11,2,70
1,karger_recursive_a1.2_b21,11,2,105
1,karger_recursive_a1.2_b28,11,2,140
1,karger_recursive_a1.2_b35,11,2,175
1,karger_recursive_a1.2_b42,11,2,210
1,karger_recursive_a1.2_b49,11,2,245
1,karger_recursive_a1.3_b7,11,2,35
1,karger_recursive_a1.3_b14,11,2,70
1,karger_recursive_a1.3_b21,11,2,105
1,karger_recursive_a1.3_b28,11,2,140
1,karger_recursive_a1.3_b35,11,2,175
1,karger_recursive_a1.3_b42,11,2,210
1,karger_recursive_a1.3_b49,11,2,245
1,karger_recursive_a1.4_b7,11,3,35
1,karger_recursive_a1.4_b14,11,2,70
1,karger_recursive_a1.4_b21,11,2,105
1,karger_recursive_a1.4_b28,11,2,140
1,karger_recursive_a1.4_b35,11,2,175
1,karger_recursive_a1.4_b42,11,2,210
1,karger_recursive_a1.4_b49,11,2,245
1,karger_recursive_a1.5_b7,11,2,35
1,karger_recursive_a1.5_b14,11,2,70
1,karger_recursive_a1.5_b21,11,2,105
1,karger_recursive_a1.5_b28,11,2,140
1,karger_recursive_a1.5_b35,11,2,175
1,karger_recursive_a1.5_b42,11,2,210
1,karger_recursive_a1.5_b49,11,2,245
1,karger_recursive_a1.6_b7,11,2,35
1,karger_recursive_a1.6_b14,11,2,70
1,karger_recursive_a1.6_b21,11,2,105
1,karger_recursive_a1.6_b28,11,2,140
1,karger_recursive_a1.6_b35,11,2,175
1,karger_recursive_a1.6_b42,11,2,210
1,karger_recursive_a1.6_b49,11,2,245
1,karger_recursive_a1.7_b7,11,3,35
1,karger_recursive_a1.7_b14,11,2,70
1,karger_recursive_a1.7_b21,11,2,105
1,karger_recursive_a1.7_b28,11,2,140
1,karger_recursive_a1.7_b35,11,2,175
1,karger_recursive_a1.7_b42,11,2,210
1,karger_recursive_a1.7_b49,11,2,245
