Algorithme;Coupe min;Nombre de contractions
karger;57;33
karger_improved;11;191
karger_recursive;38;43
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;0;27
karger_improved;0;131
karger_recursive;0;33
karger;183;34
karger_improved;16;255
karger_recursive;20;44
karger;7;24
karger_improved;3;124
karger_recursive;6;30
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;13;15
karger_improved;11;57
karger_recursive;35;17
karger;1;5
karger_improved;1;7
karger_recursive;2;5
karger;1;3
karger_improved;1;4
karger_recursive;1;3
karger;11;13
karger_improved;2;39
karger_recursive;4;15
karger;33;17
karger_improved;8;74
karger_recursive;27;19
karger;58;38
karger_improved;10;326
karger_recursive;14;50
karger;0;9
karger_improved;0;9
karger_recursive;0;9
karger;205;31
karger_improved;31;188
karger_recursive;181;39
karger;6;9
karger_improved;16;18
karger_recursive;15;9
karger;16;22
karger_improved;16;90
karger_recursive;45;26
karger;18;21
karger_improved;13;89
karger_recursive;41;25
karger;127;22
karger_improved;39;90
karger_recursive;55;26
karger;13;13
karger_improved;8;39
karger_recursive;30;15
karger;2;1
karger_improved;2;1
karger_recursive;2;1
karger;17;9
karger_improved;7;18
karger_recursive;28;9
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;5;26
karger_improved;1;157
karger_recursive;1;32
karger;131;29
karger_improved;25;164
karger_recursive;196;37
karger;0;9
karger_improved;0;9
karger_recursive;0;9
karger;86;35
karger_improved;5;259
karger_recursive;30;45
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;43;25
karger_improved;6;156
karger_recursive;45;31
karger;78;23
karger_improved;21;122
karger_recursive;16;29
karger;5;33
karger_improved;4;191
karger_recursive;5;43
karger;0;27
karger_improved;0;161
karger_recursive;0;33
karger;21;31
karger_improved;16;188
karger_recursive;155;39
karger;239;35
karger_improved;30;259
karger_recursive;218;45
karger;5;4
karger_improved;3;6
karger_recursive;7;4
karger;171;32
karger_improved;27;190
karger_recursive;117;40
karger;6;35
karger_improved;5;259
karger_recursive;4;45
karger;118;33
karger_improved;18;191
karger_recursive;145;43
karger;28;16
karger_improved;15;58
karger_recursive;23;18
karger;44;14
karger_improved;32;41
karger_recursive;43;16
karger;3;28
karger_improved;2;163
karger_recursive;2;36
karger;0;22
karger_improved;0;90
karger_recursive;0;26
karger;4;4
karger_improved;2;6
karger_recursive;4;4
karger;28;15
karger_improved;16;57
karger_recursive;37;17
karger;8;15
karger_improved;9;57
karger_recursive;34;17
karger;0;23
karger_improved;0;52
karger_recursive;0;23
karger;0;9
karger_improved;0;13
karger_recursive;0;9
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;6;20
karger_improved;1;85
karger_recursive;3;24
karger;1;1
karger_improved;1;1
karger_recursive;1;1
karger;143;27
karger_improved;15;161
karger_recursive;18;33
karger;69;27
karger_improved;45;161
karger_recursive;25;33
karger;172;33
karger_improved;18;191
karger_recursive;41;43
karger;154;33
karger_improved;14;191
karger_recursive;105;43
karger;26;13
karger_improved;3;39
karger_recursive;25;15
karger;18;27
karger_improved;2;161
karger_recursive;4;33
karger;84;36
karger_improved;12;260
karger_recursive;81;46
karger;101;27
karger_improved;12;161
karger_recursive;12;33
karger;9;16
karger_improved;3;58
karger_recursive;11;18
karger;1;2
karger_improved;1;2
karger_recursive;1;2
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;27;27
karger_improved;6;161
karger_recursive;51;33
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;46;15
karger_improved;6;57
karger_recursive;21;17
karger;24;17
karger_improved;3;74
karger_recursive;6;19
karger;7;32
karger_improved;7;190
karger_recursive;7;40
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;15;17
karger_improved;31;74
karger_recursive;15;19
karger;35;22
karger_improved;13;90
karger_recursive;68;26
karger;0;4
karger_improved;0;4
karger_recursive;0;4
karger;15;9
karger_improved;3;18
karger_recursive;15;9
karger;0;7
karger_improved;0;15
karger_recursive;0;7
karger;8;18
karger_improved;11;76
karger_recursive;35;22
karger;7;8
karger_improved;14;17
karger_recursive;14;8
karger;0;4
karger_improved;0;5
karger_recursive;0;4
karger;0;15
karger_improved;0;29
karger_recursive;0;15
karger;253;34
karger_improved;31;255
karger_recursive;179;44
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;8;9
karger_improved;2;18
karger_recursive;3;9
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;9;5
karger_improved;5;7
karger_recursive;9;5
karger;8;13
karger_improved;1;39
karger_recursive;1;15
karger;117;33
karger_improved;13;191
karger_recursive;81;43
karger;1;8
karger_improved;2;17
karger_recursive;1;8
karger;13;19
karger_improved;11;77
karger_recursive;28;23
karger;24;18
karger_improved;11;76
karger_recursive;25;22
karger;23;15
karger_improved;9;57
karger_recursive;11;17
karger;170;28
karger_improved;20;163
karger_recursive;133;36
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;34;15
karger_improved;21;57
karger_recursive;36;17
karger;4;3
karger_improved;4;4
karger_recursive;4;3
karger;1;1
karger_improved;1;1
karger_recursive;1;1
karger;4;4
karger_improved;7;6
karger_recursive;2;4
karger;31;18
karger_improved;10;76
karger_recursive;10;22
karger;97;27
karger_improved;22;161
karger_recursive;21;33
karger;1;29
karger_improved;1;164
karger_recursive;2;37
karger;163;36
karger_improved;20;260
karger_recursive;114;46
karger;0;23
karger_improved;0;92
karger_recursive;0;27
karger;128;31
karger_improved;12;188
karger_recursive;122;39
karger;7;5
karger_improved;8;7
karger_recursive;7;5
karger;319;36
karger_improved;33;260
karger_recursive;203;46
karger;157;36
karger_improved;17;260
karger_recursive;154;46
karger;10;33
karger_improved;6;191
karger_recursive;64;43
karger;70;25
karger_improved;8;156
karger_recursive;6;31
karger;2;1
karger_improved;2;1
karger_recursive;2;1
karger;21;12
karger_improved;5;35
karger_recursive;20;12
karger;12;15
karger_improved;4;57
karger_recursive;6;17
karger;13;16
karger_improved;25;58
karger_recursive;41;18
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;4;6
karger_improved;3;11
karger_recursive;9;6
karger;25;32
karger_improved;18;190
karger_recursive;96;40
karger;91;19
karger_improved;18;77
karger_recursive;64;23
karger;155;29
karger_improved;20;164
karger_recursive;118;37
karger;9;28
karger_improved;3;163
karger_recursive;7;36
karger;1;7
karger_improved;1;15
karger_recursive;1;7
karger;73;33
karger_improved;9;191
karger_recursive;59;43
karger;9;11
karger_improved;7;34
karger_recursive;5;11
karger;25;9
karger_improved;8;18
karger_recursive;27;9
karger;169;29
karger_improved;22;164
karger_recursive;61;37
karger;81;18
karger_improved;13;76
karger_recursive;13;22
karger;1;22
karger_improved;1;90
karger_recursive;1;26
karger;102;36
karger_improved;6;260
karger_recursive;90;46
karger;189;32
karger_improved;32;190
karger_recursive;64;40
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;104;34
karger_improved;7;255
karger_recursive;24;44
karger;58;28
karger_improved;17;163
karger_recursive;34;36
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;41;15
karger_improved;13;57
karger_recursive;37;17
karger;6;21
karger_improved;4;89
karger_recursive;6;25
karger;4;12
karger_improved;6;35
karger_recursive;10;12
karger;73;18
karger_improved;19;76
karger_recursive;19;22
karger;9;4
karger_improved;8;6
karger_recursive;8;4
karger;65;31
karger_improved;4;188
karger_recursive;8;39
karger;10;20
karger_improved;1;85
karger_recursive;1;24
karger;0;36
karger_improved;0;198
karger_recursive;0;44
karger;44;15
karger_improved;7;57
karger_recursive;30;17
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;12;7
karger_improved;9;15
karger_recursive;10;7
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;0;3
karger_improved;0;4
karger_recursive;0;3
karger;146;25
karger_improved;18;156
karger_recursive;16;31
karger;3;8
karger_improved;2;17
karger_recursive;7;8
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;47;26
karger_improved;2;157
karger_recursive;7;32
karger;0;20
karger_improved;0;31
karger_recursive;0;20
karger;20;10
karger_improved;6;26
karger_recursive;19;10
karger;53;15
karger_improved;10;57
karger_recursive;44;17
karger;61;23
karger_improved;8;122
karger_recursive;32;29
karger;6;37
karger_improved;2;324
karger_recursive;45;47
karger;28;9
karger_improved;18;18
karger_recursive;30;9
karger;81;37
karger_improved;20;324
karger_recursive;18;47
karger;140;32
karger_improved;19;190
karger_recursive;19;40
karger;160;31
karger_improved;30;188
karger_recursive;58;39
karger;22;12
karger_improved;8;35
karger_recursive;5;12
karger;17;32
karger_improved;1;190
