Exemple;Algorithme;Nombre d'arêtes;Coupe min;Nombre de contractions
;;;;
1;karger_recursive_a1.1_b24;268;23;22
;;;;
1;karger_recursive_a1.1_b48;268;22;22
;;;;
1;karger_recursive_a1.1_b72;268;21;22
;;;;
1;karger_recursive_a1.1_b96;268;21;22
;;;;
1;karger_recursive_a1.1_b120;268;21;22
;;;;
1;karger_recursive_a1.1_b144;268;21;22
;;;;
1;karger_recursive_a1.1_b168;268;21;22
;;;;
1;karger_recursive_a1.1_b192;268;21;22
;;;;
1;karger_recursive_a1.1_b216;268;21;22
;;;;
1;karger_recursive_a1.1_b240;268;21;22
;;;;
1;karger_recursive_a1.1_b264;268;21;22
;;;;
1;karger_recursive_a1.1_b288;268;21;22
;;;;
1;karger_recursive_a1.1_b312;268;21;22
;;;;
1;karger_recursive_a1.1_b336;268;21;22
;;;;
1;karger_recursive_a1.1_b360;268;21;22
;;;;
1;karger_recursive_a1.1_b384;268;21;22
;;;;
1;karger_recursive_a1.1_b408;268;21;22
;;;;
1;karger_recursive_a1.1_b432;268;21;22
;;;;
1;karger_recursive_a1.1_b456;268;21;22
;;;;
1;karger_recursive_a1.1_b480;268;21;22
;;;;
1;karger_recursive_a1.1_b504;268;21;22
;;;;
1;karger_recursive_a1.1_b528;268;21;22
;;;;
1;karger_recursive_a1.1_b552;268;21;22
;;;;
1;karger_recursive_a1.1_b576;268;21;22
;;;;
1;karger_recursive_a1.2_b24;268;21;22
;;;;
1;karger_recursive_a1.2_b48;268;21;22
;;;;
1;karger_recursive_a1.2_b72;268;21;22
;;;;
1;karger_recursive_a1.2_b96;268;21;22
;;;;
1;karger_recursive_a1.2_b120;268;21;22
;;;;
1;karger_recursive_a1.2_b144;268;21;22
;;;;
1;karger_recursive_a1.2_b168;268;21;22
;;;;
1;karger_recursive_a1.2_b192;268;21;22
;;;;
1;karger_recursive_a1.2_b216;268;21;22
;;;;
1;karger_recursive_a1.2_b240;268;21;22
;;;;
1;karger_recursive_a1.2_b264;268;21;22
;;;;
1;karger_recursive_a1.2_b288;268;21;22
;;;;
1;karger_recursive_a1.2_b312;268;21;22
;;;;
1;karger_recursive_a1.2_b336;268;21;22
;;;;
1;karger_recursive_a1.2_b360;268;21;22
;;;;
1;karger_recursive_a1.2_b384;268;21;22
;;;;
1;karger_recursive_a1.2_b408;268;21;22
;;;;
1;karger_recursive_a1.2_b432;268;21;22
;;;;
1;karger_recursive_a1.2_b456;268;21;22
;;;;
1;karger_recursive_a1.2_b480;268;21;22
;;;;
1;karger_recursive_a1.2_b504;268;21;22
;;;;
1;karger_recursive_a1.2_b528;268;21;22
;;;;
1;karger_recursive_a1.2_b552;268;21;22
;;;;
1;karger_recursive_a1.2_b576;268;21;22
;;;;
1;karger_recursive_a1.3_b24;268;21;22
;;;;
1;karger_recursive_a1.3_b48;268;22;22
;;;;
1;karger_recursive_a1.3_b72;268;22;22
;;;;
1;karger_recursive_a1.3_b96;268;21;22
;;;;
1;karger_recursive_a1.3_b120;268;21;22
;;;;
1;karger_recursive_a1.3_b144;268;21;22
;;;;
1;karger_recursive_a1.3_b168;268;22;22
;;;;
1;karger_recursive_a1.3_b192;268;21;22
;;;;
1;karger_recursive_a1.3_b216;268;21;22
;;;;
1;karger_recursive_a1.3_b240;268;21;22
;;;;
1;karger_recursive_a1.3_b264;268;21;22
;;;;
1;karger_recursive_a1.3_b288;268;21;22
;;;;
1;karger_recursive_a1.3_b312;268;21;22
;;;;
1;karger_recursive_a1.3_b336;268;21;22
;;;;
1;karger_recursive_a1.3_b360;268;21;22
;;;;
1;karger_recursive_a1.3_b384;268;21;22
;;;;
1;karger_recursive_a1.3_b408;268;21;22
;;;;
1;karger_recursive_a1.3_b432;268;21;22
;;;;
1;karger_recursive_a1.3_b456;268;21;22
;;;;
1;karger_recursive_a1.3_b480;268;21;22
;;;;
1;karger_recursive_a1.3_b504;268;21;22
;;;;
1;karger_recursive_a1.3_b528;268;21;22
;;;;
1;karger_recursive_a1.3_b552;268;21;22
;;;;
1;karger_recursive_a1.3_b576;268;21;22
;;;;
1;karger_recursive_a1.4_b24;268;22;22
;;;;
1;karger_recursive_a1.4_b48;268;22;22
;;;;
1;karger_recursive_a1.4_b72;268;21;22
;;;;
1;karger_recursive_a1.4_b96;268;21;22
;;;;
1;karger_recursive_a1.4_b120;268;21;22
;;;;
1;karger_recursive_a1.4_b144;268;21;22
;;;;
1;karger_recursive_a1.4_b168;268;21;22
;;;;
1;karger_recursive_a1.4_b192;268;21;22
;;;;
1;karger_recursive_a1.4_b216;268;21;22
;;;;
1;karger_recursive_a1.4_b240;268;21;22
;;;;
1;karger_recursive_a1.4_b264;268;21;22
;;;;
1;karger_recursive_a1.4_b288;268;21;22
;;;;
1;karger_recursive_a1.4_b312;268;21;22
;;;;
1;karger_recursive_a1.4_b336;268;21;22
;;;;
1;karger_recursive_a1.4_b360;268;21;22
;;;;
1;karger_recursive_a1.4_b384;268;21;22
;;;;
1;karger_recursive_a1.4_b408;268;21;22
;;;;
1;karger_recursive_a1.4_b432;268;21;22
;;;;
1;karger_recursive_a1.4_b456;268;21;22
;;;;
1;karger_recursive_a1.4_b480;268;21;22
;;;;
1;karger_recursive_a1.4_b504;268;21;22
;;;;
1;karger_recursive_a1.4_b528;268;21;22
;;;;
1;karger_recursive_a1.4_b552;268;21;22
;;;;
1;karger_recursive_a1.4_b576;268;21;22
;;;;
1;karger_recursive_a1.5_b24;268;21;22
;;;;
1;karger_recursive_a1.5_b48;268;23;22
;;;;
1;karger_recursive_a1.5_b72;268;21;22
;;;;
1;karger_recursive_a1.5_b96;268;21;22
;;;;
1;karger_recursive_a1.5_b120;268;21;22
;;;;
1;karger_recursive_a1.5_b144;268;21;22
;;;;
1;karger_recursive_a1.5_b168;268;21;22
;;;;
1;karger_recursive_a1.5_b192;268;21;22
;;;;
1;karger_recursive_a1.5_b216;268;21;22
;;;;
1;karger_recursive_a1.5_b240;268;21;22
;;;;
1;karger_recursive_a1.5_b264;268;21;22
;;;;
1;karger_recursive_a1.5_b288;268;21;22
;;;;
1;karger_recursive_a1.5_b312;268;21;22
;;;;
1;karger_recursive_a1.5_b336;268;21;22
;;;;
1;karger_recursive_a1.5_b360;268;21;22
;;;;
1;karger_recursive_a1.5_b384;268;21;22
;;;;
1;karger_recursive_a1.5_b408;268;21;22
;;;;
1;karger_recursive_a1.5_b432;268;21;22
;;;;
1;karger_recursive_a1.5_b456;268;21;22
;;;;
1;karger_recursive_a1.5_b480;268;21;22
;;;;
1;karger_recursive_a1.5_b504;268;21;22
;;;;
1;karger_recursive_a1.5_b528;268;21;22
;;;;
1;karger_recursive_a1.5_b552;268;21;22
;;;;
1;karger_recursive_a1.5_b576;268;21;22
;;;;
1;karger_recursive_a1.6_b24;268;0;23
;;;;
1;karger_recursive_a1.6_b48;268;0;23
;;;;
1;karger_recursive_a1.6_b72;268;0;23
;;;;
1;karger_recursive_a1.6_b96;268;0;23
;;;;
1;karger_recursive_a1.6_b120;268;0;23
;;;;
1;karger_recursive_a1.6_b144;268;0;23
;;;;
1;karger_recursive_a1.6_b168;268;0;23
;;;;
1;karger_recursive_a1.6_b192;268;0;23
;;;;
1;karger_recursive_a1.6_b216;268;0;23
;;;;
1;karger_recursive_a1.6_b240;268;0;23
;;;;
1;karger_recursive_a1.6_b264;268;0;23
;;;;
1;karger_recursive_a1.6_b288;268;0;23
;;;;
1;karger_recursive_a1.6_b312;268;0;23
;;;;
1;karger_recursive_a1.6_b336;268;0;23
;;;;
1;karger_recursive_a1.6_b360;268;0;23
;;;;
1;karger_recursive_a1.6_b384;268;0;23
;;;;
1;karger_recursive_a1.6_b408;268;0;23
;;;;
1;karger_recursive_a1.6_b432;268;0;23
;;;;
1;karger_recursive_a1.6_b456;268;0;23
;;;;
1;karger_recursive_a1.6_b480;268;0;23
;;;;
1;karger_recursive_a1.6_b504;268;0;23
;;;;
1;karger_recursive_a1.6_b528;268;0;23
;;;;
1;karger_recursive_a1.6_b552;268;0;23
;;;;
1;karger_recursive_a1.6_b576;268;0;23
;;;;
1;karger_recursive_a1.7_b24;268;42;22
;;;;
1;karger_recursive_a1.7_b48;268;22;22
;;;;
1;karger_recursive_a1.7_b72;268;22;22
;;;;
1;karger_recursive_a1.7_b96;268;21;22
;;;;
1;karger_recursive_a1.7_b120;268;21;22
;;;;
1;karger_recursive_a1.7_b144;268;21;22
;;;;
1;karger_recursive_a1.7_b168;268;21;22
;;;;
1;karger_recursive_a1.7_b192;268;21;22
;;;;
1;karger_recursive_a1.7_b216;268;21;22
;;;;
1;karger_recursive_a1.7_b240;268;22;22
;;;;
1;karger_recursive_a1.7_b264;268;21;22
;;;;
1;karger_recursive_a1.7_b288;268;21;22
;;;;
1;karger_recursive_a1.7_b312;268;21;22
;;;;
1;karger_recursive_a1.7_b336;268;21;22
;;;;
1;karger_recursive_a1.7_b360;268;21;22
;;;;
1;karger_recursive_a1.7_b384;268;21;22
;;;;
1;karger_recursive_a1.7_b408;268;21;22
;;;;
1;karger_recursive_a1.7_b432;268;21;22
;;;;
1;karger_recursive_a1.7_b456;268;21;22
;;;;
1;karger_recursive_a1.7_b480;268;21;22
;;;;
1;karger_recursive_a1.7_b504;268;21;22
;;;;
1;karger_recursive_a1.7_b528;268;21;22
;;;;
1;karger_recursive_a1.7_b552;268;21;22
;;;;
1;karger_recursive_a1.7_b576;268;21;22
;;;;
1;karger_recursive_a1.8_b24;268;0;23
;;;;
1;karger_recursive_a1.8_b48;268;0;23
;;;;
1;karger_recursive_a1.8_b72;268;0;23
;;;;
1;karger_recursive_a1.8_b96;268;0;23
;;;;
1;karger_recursive_a1.8_b120;268;0;23
;;;;
1;karger_recursive_a1.8_b144;268;0;23
;;;;
1;karger_recursive_a1.8_b168;268;0;23
;;;;
1;karger_recursive_a1.8_b192;268;0;23
;;;;
1;karger_recursive_a1.8_b216;268;0;23
;;;;
1;karger_recursive_a1.8_b240;268;0;23
;;;;
1;karger_recursive_a1.8_b264;268;0;23
;;;;
1;karger_recursive_a1.8_b288;268;0;23
;;;;
1;karger_recursive_a1.8_b312;268;0;23
;;;;
1;karger_recursive_a1.8_b336;268;0;23
;;;;
1;karger_recursive_a1.8_b360;268;0;23
;;;;
1;karger_recursive_a1.8_b384;268;0;23
;;;;
1;karger_recursive_a1.8_b408;268;0;23
;;;;
1;karger_recursive_a1.8_b432;268;0;23
;;;;
1;karger_recursive_a1.8_b456;268;0;23
;;;;
1;karger_recursive_a1.8_b480;268;0;23
;;;;
1;karger_recursive_a1.8_b504;268;0;23
;;;;
1;karger_recursive_a1.8_b528;268;0;23
;;;;
1;karger_recursive_a1.8_b552;268;0;23
;;;;
1;karger_recursive_a1.8_b576;268;0;23
;;;;
1;karger_recursive_a1.9_b24;268;0;23
;;;;
1;karger_recursive_a1.9_b48;268;0;23
;;;;
1;karger_recursive_a1.9_b72;268;0;23
;;;;
1;karger_recursive_a1.9_b96;268;0;23
;;;;
1;karger_recursive_a1.9_b120;268;0;23
;;;;
1;karger_recursive_a1.9_b144;268;0;23
;;;;
1;karger_recursive_a1.9_b168;268;0;23
;;;;
1;karger_recursive_a1.9_b192;268;0;23
;;;;
1;karger_recursive_a1.9_b216;268;0;23
;;;;
1;karger_recursive_a1.9_b240;268;0;23
;;;;
1;karger_recursive_a1.9_b264;268;0;23
;;;;
1;karger_recursive_a1.9_b288;268;0;23
;;;;
1;karger_recursive_a1.9_b312;268;0;23
;;;;
1;karger_recursive_a1.9_b336;268;0;23
;;;;
1;karger_recursive_a1.9_b360;268;0;23
;;;;
1;karger_recursive_a1.9_b384;268;0;23
;;;;
1;karger_recursive_a1.9_b408;268;0;23
;;;;
1;karger_recursive_a1.9_b432;268;0;23
;;;;
1;karger_recursive_a1.9_b456;268;0;23
;;;;
1;karger_recursive_a1.9_b480;268;0;23
;;;;
1;karger_recursive_a1.9_b504;268;0;23
;;;;
1;karger_recursive_a1.9_b528;268;0;23
;;;;
1;karger_recursive_a1.9_b552;268;0;23
;;;;
1;karger_recursive_a1.9_b576;268;0;23
;;;;
1;karger_recursive_a2.0_b24;268;0;23
;;;;
1;karger_recursive_a2.0_b48;268;0;23
;;;;
1;karger_recursive_a2.0_b72;268;0;23
;;;;
1;karger_recursive_a2.0_b96;268;0;23
;;;;
1;karger_recursive_a2.0_b120;268;0;23
;;;;
1;karger_recursive_a2.0_b144;268;0;23
;;;;
1;karger_recursive_a2.0_b168;268;0;23
;;;;
1;karger_recursive_a2.0_b192;268;0;23
;;;;
1;karger_recursive_a2.0_b216;268;0;23
;;;;
1;karger_recursive_a2.0_b240;268;0;23
;;;;
1;karger_recursive_a2.0_b264;268;0;23
;;;;
1;karger_recursive_a2.0_b288;268;0;23
;;;;
1;karger_recursive_a2.0_b312;268;0;23
;;;;
1;karger_recursive_a2.0_b336;268;0;23
;;;;
1;karger_recursive_a2.0_b360;268;0;23
;;;;
1;karger_recursive_a2.0_b384;268;0;23
;;;;
1;karger_recursive_a2.0_b408;268;0;23
;;;;
