a;b;Coupe min;Nombre de contractions
2,2;2;26;45
2,2;3;24;68
2,2;4;22;97
2,2;5;22;132
2,2;6;25;173
2,3;2;24;45
2,3;3;48;68
2,3;4;25;97
2,3;5;41;132
2,3;6;22;173
2,4;2;40;44
2,4;3;64;66
2,4;4;22;94
2,4;5;23;128
2,4;6;22;168
2,5;2;63;42
2,5;3;49;60
2,5;4;22;82
2,5;5;22;108
2,5;6;25;138
2,6;2;120;41
2,6;3;84;58
2,6;4;23;79
2,6;5;22;104
2,6;6;25;133
2,7;2;46;41
2,7;3;20;58
2,7;4;21;79
2,7;5;24;104
2,7;6;67;133
2,8;2;101;38
2,8;3;20;50
2,8;4;46;64
2,8;5;22;80
2,8;6;22;98
2,9;2;28;38
2,9;3;84;50
2,9;4;22;64
2,9;5;28;80
2,9;6;25;98
3;2;44;38
3;3;20;50
3;4;24;64
3;5;23;80
3;6;25;98
3,1;2;22;35
3,1;3;44;42
3,1;4;44;49
3,1;5;24;56
3,1;6;68;63
3,2;2;85;35
3,2;3;43;42
3,2;4;24;49
3,2;5;100;56
3,2;6;26;63
3,3;2;168;35
3,3;3;20;42
3,3;4;24;49
3,3;5;25;56
3,3;6;83;63
3,4;2;105;34
3,4;3;85;40
3,4;4;108;46
3,4;5;25;52
3,4;6;23;58
3,5;2;165;34
3,5;3;86;40
3,5;4;115;46
3,5;5;47;52
3,5;6;69;58
3,6;2;83;34
3,6;3;86;40
3,6;4;142;46
3,6;5;24;52
3,6;6;24;58
3,7;2;25;34
3,7;3;123;40
3,7;4;67;46
3,7;5;25;52
3,7;6;22;58
3,8;2;132;33
3,8;3;87;38
3,8;4;66;43
3,8;5;22;48
3,8;6;102;53
3,9;2;169;33
3,9;3;83;38
3,9;4;25;43
3,9;5;67;48
3,9;6;43;53
4;2;153;33
4;3;63;38
4;4;69;43
4;5;28;48
4;6;22;53
4,1;2;101;33
4,1;3;25;38
4,1;4;43;43
4,1;5;24;48
4,1;6;22;53
4,2;2;100;33
4,2;3;41;38
4,2;4;82;43
4,2;5;23;48
4,2;6;25;53
4,3;2;147;32
4,3;3;85;36
4,3;4;47;40
4,3;5;69;44
4,3;6;47;48
4,4;2;151;32
4,4;3;176;36
4,4;4;139;40
4,4;5;48;44
4,4;6;49;48
4,5;2;96;32
4,5;3;132;36
4,5;4;143;40
4,5;5;22;44
4,5;6;47;48
4,6;2;24;32
4,6;3;68;36
4,6;4;65;40
4,6;5;70;44
4,6;6;130;48
4,7;2;20;32
4,7;3;44;36
4,7;4;22;40
4,7;5;21;44
4,7;6;69;48
4,8;2;143;32
4,8;3;101;36
4,8;4;48;40
4,8;5;137;44
4,8;6;89;48
4,9;2;41;32
4,9;3;66;36
4,9;4;22;40
4,9;5;49;44
4,9;6;22;48
5;2;63;32
5;3;140;36
5;4;47;40
5;5;26;44
5;6;21;48
5,1;2;66;31
5,1;3;122;34
5,1;4;21;37
5,1;5;44;40
5,1;6;20;43
2,2;2;23;41
2,2;3;25;63
2,2;4;22;91
2,2;5;24;125
2,2;6;22;165
2,3;2;43;38
2,3;3;65;55
2,3;4;45;76
2,3;5;25;101
2,3;6;23;130
2,4;2;23;38
2,4;3;23;55
2,4;4;25;76
2,4;5;60;101
2,4;6;22;130
2,5;2;23;37
2,5;3;42;53
2,5;4;26;73
2,5;5;43;97
2,5;6;23;125
2,6;2;45;35
2,6;3;46;47
2,6;4;65;61
2,6;5;22;77
2,6;6;43;95
2,7;2;112;34
2,7;3;63;45
2,7;4;61;58
2,7;5;59;73
2,7;6;22;90
2,8;2;83;34
2,8;3;105;45
2,8;4;20;58
2,8;5;40;73
2,8;6;22;90
2,9;2;82;34
2,9;3;22;45
2,9;4;21;58
2,9;5;21;73
2,9;6;22;90
3;2;22;34
3;3;22;45
3;4;22;58
3;5;22;73
3;6;25;90
3,1;2;64;31
3,1;3;22;37
3,1;4;22;43
3,1;5;24;49
3,1;6;79;55
3,2;2;141;31
3,2;3;23;37
3,2;4;109;43
3,2;5;58;49
3,2;6;42;55
3,3;2;21;31
3,3;3;144;37
3,3;4;98;43
3,3;5;24;49
3,3;6;22;55
3,4;2;111;30
3,4;3;61;35
3,4;4;136;40
3,4;5;85;45
3,4;6;24;50
3,5;2;43;30
3,5;3;43;35
3,5;4;44;40
3,5;5;50;45
3,5;6;128;50
3,6;2;158;30
3,6;3;22;35
3,6;4;44;40
3,6;5;63;45
3,6;6;43;50
3,7;2;80;30
3,7;3;22;35
3,7;4;64;40
3,7;5;82;45
3,7;6;79;50
3,8;2;154;30
3,8;3;97;35
3,8;4;63;40
3,8;5;64;45
3,8;6;22;50
3,9;2;26;29
3,9;3;22;33
3,9;4;24;37
3,9;5;82;41
3,9;6;25;45
4;2;21;29
4;3;62;33
4;4;115;37
4;5;24;41
4;6;24;45
4,1;2;45;29
4,1;3;112;33
4,1;4;114;37
4,1;5;132;41
4,1;6;25;45
4,2;2;112;29
4,2;3;82;33
4,2;4;25;37
4,2;5;23;41
4,2;6;81;45
4,3;2;24;29
4,3;3;40;33
4,3;4;23;37
4,3;5;46;41
4,3;6;94;45
4,4;2;111;29
4,4;3;26;33
4,4;4;63;37
4,4;5;111;41
4,4;6;43;45
4,5;2;108;29
4,5;3;98;33
4,5;4;63;37
4,5;5;64;41
4,5;6;50;45
4,6;2;47;28
4,6;3;45;31
4,6;4;122;34
4,6;5;22;37
4,6;6;22;40
4,7;2;140;28
4,7;3;44;31
4,7;4;44;34
4,7;5;39;37
4,7;6;24;40
4,8;2;146;28
4,8;3;110;31
4,8;4;26;34
4,8;5;60;37
4,8;6;66;40
4,9;2;85;28
4,9;3;111;31
4,9;4;79;34
4,9;5;109;37
4,9;6;65;40
5;2;121;28
5;3;108;31
5;4;45;34
5;5;24;37
5;6;64;40
5,1;2;151;28
5,1;3;45;31
5,1;4;23;34
5,1;5;21;37
5,1;6;22;40
2,2;2;0;0
2,2;3;0;0
2,2;4;0;0
2,2;5;0;0
2,2;6;0;0
2,3;2;0;0
2,3;3;0;0
2,3;4;0;0
2,3;5;0;0
2,3;6;0;0
2,4;2;0;0
2,4;3;0;0
2,4;4;0;0
2,4;5;0;0
2,4;6;0;0
2,5;2;0;0
2,5;3;0;0
2,5;4;0;0
2,5;5;0;0
2,5;6;0;0
2,6;2;0;0
2,6;3;0;0
2,6;4;0;0
2,6;5;0;0
2,6;6;0;0
2,7;2;0;0
2,7;3;0;0
2,7;4;0;0
2,7;5;0;0
2,7;6;0;0
2,8;2;0;0
2,8;3;0;0
2,8;4;0;0
2,8;5;0;0
2,8;6;0;0
2,9;2;0;0
2,9;3;0;0
2,9;4;0;0
2,9;5;0;0
2,9;6;0;0
3;2;0;0
3;3;0;0
3;4;0;0
3;5;0;0
3;6;0;0
3,1;2;0;0
3,1;3;0;0
3,1;4;0;0
3,1;5;0;0
3,1;6;0;0
3,2;2;0;0
3,2;3;0;0
3,2;4;0;0
3,2;5;0;0
3,2;6;0;0
3,3;2;0;0
3,3;3;0;0
3,3;4;0;0
3,3;5;0;0
3,3;6;0;0
3,4;2;0;0
3,4;3;0;0
3,4;4;0;0
3,4;5;0;0
3,4;6;0;0
3,5;2;0;0
3,5;3;0;0
3,5;4;0;0
3,5;5;0;0
3,5;6;0;0
3,6;2;0;0
3,6;3;0;0
3,6;4;0;0
3,6;5;0;0
3,6;6;0;0
3,7;2;0;0
3,7;3;0;0
3,7;4;0;0
3,7;5;0;0
3,7;6;0;0
3,8;2;0;0
3,8;3;0;0
3,8;4;0;0
3,8;5;0;0
3,8;6;0;0
3,9;2;0;0
3,9;3;0;0
3,9;4;0;0
3,9;5;0;0
3,9;6;0;0
4;2;0;0
4;3;0;0
4;4;0;0
4;5;0;0
4;6;0;0
4,1;2;0;0
4,1;3;0;0
4,1;4;0;0
4,1;5;0;0
4,1;6;0;0
4,2;2;0;0
4,2;3;0;0
4,2;4;0;0
4,2;5;0;0
4,2;6;0;0
4,3;2;0;0
4,3;3;0;0
4,3;4;0;0
4,3;5;0;0
4,3;6;0;0
4,4;2;0;0
4,4;3;0;0
4,4;4;0;0
4,4;5;0;0
4,4;6;0;0
4,5;2;0;0
4,5;3;0;0
4,5;4;0;0
4,5;5;0;0
4,5;6;0;0
4,6;2;0;0
4,6;3;0;0
4,6;4;0;0
4,6;5;0;0
4,6;6;0;0
4,7;2;0;0
4,7;3;0;0
4,7;4;0;0
4,7;5;0;0
4,7;6;0;0
4,8;2;0;0
4,8;3;0;0
4,8;4;0;0
4,8;5;0;0
4,8;6;0;0
4,9;2;0;0
4,9;3;0;0
4,9;4;0;0
4,9;5;0;0
4,9;6;0;0
5;2;0;0
5;3;0;0
5;4;0;0
5;5;0;0
5;6;0;0
5,1;2;0;0
5,1;3;0;0
5,1;4;0;0
5,1;5;0;0
5,1;6;0;0
2,2;2;0;3
2,2;3;0;3
2,2;4;0;3
2,2;5;0;3
2,2;6;0;3
2,3;2;0;3
2,3;3;0;3
2,3;4;0;3
2,3;5;0;3
2,3;6;0;3
2,4;2;0;3
2,4;3;0;3
2,4;4;0;3
2,4;5;0;3
2,4;6;0;3
2,5;2;0;3
2,5;3;0;3
2,5;4;0;3
2,5;5;0;3
2,5;6;0;3
2,6;2;0;3
2,6;3;0;3
2,6;4;0;3
2,6;5;0;3
2,6;6;0;3
2,7;2;0;3
2,7;3;0;3
2,7;4;0;3
2,7;5;0;3
2,7;6;0;3
2,8;2;0;3
2,8;3;0;3
2,8;4;0;3
2,8;5;0;3
2,8;6;0;3
2,9;2;0;3
2,9;3;0;3
2,9;4;0;3
2,9;5;0;3
2,9;6;0;3
3;2;0;3
3;3;0;3
3;4;0;3
3;5;0;3
3;6;0;3
3,1;2;0;3
3,1;3;0;3
3,1;4;0;3
3,1;5;0;3
3,1;6;0;3
3,2;2;0;3
3,2;3;0;3
3,2;4;0;3
3,2;5;0;3
3,2;6;0;3
3,3;2;0;3
3,3;3;0;3
3,3;4;0;3
3,3;5;0;3
3,3;6;0;3
3,4;2;0;3
3,4;3;0;3
3,4;4;0;3
3,4;5;0;3
3,4;6;0;3
3,5;2;0;3
3,5;3;0;3
3,5;4;0;3
3,5;5;0;3
3,5;6;0;3
3,6;2;0;3
3,6;3;0;3
3,6;4;0;3
3,6;5;0;3
3,6;6;0;3
3,7;2;0;3
3,7;3;0;3
3,7;4;0;3
3,7;5;0;3
3,7;6;0;3
3,8;2;0;3
3,8;3;0;3
3,8;4;0;3
3,8;5;0;3
3,8;6;0;3
3,9;2;0;3
3,9;3;0;3
3,9;4;0;3
3,9;5;0;3
3,9;6;0;3
4;2;0;3
4;3;0;3
4;4;0;3
4;5;0;3
4;6;0;3
4,1;2;0;3
4,1;3;0;3
4,1;4;0;3
4,1;5;0;3
4,1;6;0;3
4,2;2;0;3
4,2;3;0;3
4,2;4;0;3
4,2;5;0;3
4,2;6;0;3
4,3;2;0;3
4,3;3;0;3
4,3;4;0;3
4,3;5;0;3
4,3;6;0;3
4,4;2;0;3
4,4;3;0;3
4,4;4;0;3
4,4;5;0;3
4,4;6;0;3
4,5;2;0;3
4,5;3;0;3
4,5;4;0;3
4,5;5;0;3
4,5;6;0;3
4,6;2;0;3
4,6;3;0;3
4,6;4;0;3
4,6;5;0;3
4,6;6;0;3
4,7;2;0;3
4,7;3;0;3
4,7;4;0;3
4,7;5;0;3
4,7;6;0;3
4,8;2;0;3
4,8;3;0;3
4,8;4;0;3
4,8;5;0;3
4,8;6;0;3
4,9;2;0;3
4,9;3;0;3
4,9;4;0;3
4,9;5;0;3
4,9;6;0;3
5;2;0;3
5;3;0;3
5;4;0;3
5;5;0;3
5;6;0;3
5,1;2;0;3
5,1;3;0;3
5,1;4;0;3
5,1;5;0;3
5,1;6;0;3
2,2;2;1;24
2,2;3;1;34
2,2;4;1;46
2,2;5;1;60
2,2;6;1;76
2,3;2;5;23
2,3;3;8;32
2,3;4;1;43
2,3;5;1;56
2,3;6;6;71
2,4;2;11;21
2,4;3;1;26
2,4;4;1;31
2,4;5;8;36
2,4;6;8;41
2,5;2;14;21
2,5;3;7;26
2,5;4;9;31
2,5;5;5;36
2,5;6;1;41
2,6;2;21;20
2,6;3;13;24
2,6;4;5;28
2,6;5;1;32
2,6;6;1;36
2,7;2;12;20
2,7;3;1;24
2,7;4;5;28
2,7;5;6;32
2,7;6;1;36
2,8;2;5;20
2,8;3;24;24
2,8;4;5;28
2,8;5;1;32
2,8;6;1;36
2,9;2;1;20
2,9;3;5;24
2,9;4;1;28
2,9;5;1;32
2,9;6;4;36
3;2;14;20
3;3;16;24
3;4;1;28
3;5;15;32
3;6;6;36
3,1;2;22;19
3,1;3;1;22
3,1;4;12;25
3,1;5;8;28
3,1;6;1;31
3,2;2;5;19
3,2;3;5;22
3,2;4;1;25
3,2;5;1;28
3,2;6;1;31
3,3;2;1;19
3,3;3;1;22
3,3;4;1;25
3,3;5;1;28
3,3;6;5;31
3,4;2;12;19
3,4;3;1;22
3,4;4;1;25
3,4;5;1;28
3,4;6;1;31
3,5;2;16;19
3,5;3;8;22
3,5;4;1;25
3,5;5;12;28
3,5;6;1;31
3,6;2;5;18
3,6;3;13;20
3,6;4;1;22
3,6;5;4;24
3,6;6;1;26
3,7;2;15;18
3,7;3;1;20
3,7;4;4;22
3,7;5;1;24
3,7;6;1;26
3,8;2;1;18
3,8;3;1;20
3,8;4;1;22
3,8;5;9;24
3,8;6;1;26
3,9;2;17;18
3,9;3;14;20
3,9;4;1;22
3,9;5;9;24
3,9;6;21;26
4;2;1;18
4;3;5;20
4;4;1;22
4;5;1;24
4;6;9;26
4,1;2;8;18
4,1;3;28;20
4,1;4;4;22
4,1;5;1;24
4,1;6;8;26
4,2;2;1;18
4,2;3;6;20
4,2;4;1;22
4,2;5;1;24
4,2;6;1;26
4,3;2;8;18
4,3;3;20;20
4,3;4;1;22
4,3;5;5;24
4,3;6;1;26
4,4;2;22;18
4,4;3;8;20
4,4;4;9;22
4,4;5;1;24
4,4;6;4;26
4,5;2;1;18
4,5;3;1;20
4,5;4;5;22
4,5;5;1;24
4,5;6;1;26
4,6;2;9;17
4,6;3;1;18
4,6;4;7;19
4,6;5;16;20
4,6;6;1;21
4,7;2;14;17
4,7;3;18;18
4,7;4;19;19
4,7;5;5;20
4,7;6;9;21
4,8;2;12;17
4,8;3;12;18
4,8;4;22;19
4,8;5;8;20
4,8;6;1;21
4,9;2;21;17
4,9;3;9;18
4,9;4;22;19
4,9;5;1;20
4,9;6;5;21
5;2;14;17
5;3;9;18
5;4;1;19
5;5;1;20
5;6;29;21
5,1;2;15;17
5,1;3;1;18
5,1;4;9;19
5,1;5;15;20
5,1;6;1;21
2,2;2;70;31
2,2;3;17;46
2,2;4;14;65
2,2;5;13;88
2,2;6;17;115
2,3;2;39;29
2,3;3;13;40
2,3;4;19;53
2,3;5;15;68
2,3;6;13;85
2,4;2;16;29
2,4;3;16;40
2,4;4;14;53
2,4;5;16;68
2,4;6;13;85
2,5;2;14;28
2,5;3;64;38
2,5;4;30;50
2,5;5;14;64
2,5;6;13;80
2,6;2;32;28
2,6;3;14;38
2,6;4;15;50
2,6;5;13;64
2,6;6;13;80
2,7;2;84;26
2,7;3;19;32
2,7;4;13;38
2,7;5;16;44
2,7;6;42;50
2,8;2;14;25
2,8;3;19;30
2,8;4;58;35
2,8;5;28;40
2,8;6;15;45
2,9;2;77;25
2,9;3;26;30
2,9;4;30;35
2,9;5;41;40
2,9;6;41;45
3;2;80;25
3;3;77;30
3;4;15;35
3;5;54;40
3;6;33;45
3,1;2;74;25
3,1;3;69;30
3,1;4;39;35
3,1;5;15;40
3,1;6;16;45
3,2;2;28;24
3,2;3;45;28
3,2;4;46;32
3,2;5;26;36
3,2;6;15;40
3,3;2;86;24
3,3;3;17;28
3,3;4;29;32
3,3;5;14;36
3,3;6;31;40
3,4;2;28;24
3,4;3;82;28
3,4;4;67;32
3,4;5;43;36
3,4;6;41;40
3,5;2;85;24
3,5;3;45;28
3,5;4;14;32
3,5;5;15;36
3,5;6;27;40
3,6;2;30;24
3,6;3;16;28
3,6;4;69;32
3,6;5;30;36
3,6;6;14;40
3,7;2;85;23
3,7;3;52;26
3,7;4;39;29
3,7;5;28;32
3,7;6;56;35
3,8;2;14;23
3,8;3;31;26
3,8;4;13;29
3,8;5;39;32
3,8;6;13;35
3,9;2;64;23
3,9;3;73;26
3,9;4;15;29
3,9;5;56;32
3,9;6;32;35
4;2;18;23
4;3;33;26
4;4;29;29
4;5;19;32
4;6;19;35
4,1;2;37;23
4,1;3;40;26
4,1;4;42;29
4,1;5;61;32
4,1;6;27;35
4,2;2;16;23
4,2;3;43;26
4,2;4;45;29
4,2;5;17;32
4,2;6;15;35
4,3;2;82;23
4,3;3;80;26
4,3;4;49;29
4,3;5;27;32
4,3;6;45;35
4,4;2;43;22
4,4;3;30;24
4,4;4;16;26
