a;Coupe min;Nombre de contractions;Rapport
1,1;14;8254;0,001696147
1,2;14;582;0,024054983
1,3;15;177;0,084745763
1,4;14;108;0,12962963
1,5;14;77;0,181818182
1,6;17;50;0,34
1,7;29;47;0,617021277
1,8;17;40;0,425
1,9;44;34;1,294117647
2;85;33;2,575757576
2,1;17;30;0,566666667
2,2;44;30;1,466666667
2,3;16;28;0,571428571
2,4;17;27;0,62962963
2,5;16;27;0,592592593
2,6;14;27;0,518518519
2,7;29;24;1,208333333
2,8;42;24;1,75
2,9;70;24;2,916666667
3;69;24;2,875
3,1;16;23;0,695652174
3,2;54;23;2,347826087
3,3;17;23;0,739130435
3,4;84;23;3,652173913
3,5;55;23;2,391304348
3,6;15;22;0,681818182
3,7;64;22;2,909090909
3,8;70;22;3,181818182
3,9;52;22;2,363636364
4;64;22;2,909090909
4,1;55;22;2,5
4,3;61;21;2,904761905
4,5;71;21;3,380952381
4,6;81;21;3,857142857
4,8;80;21;3,80952381
5;41;21;1,952380952
1,1;1;7;0,142857143
1,2;1;7;0,142857143
1,3;1;4;0,25
1,4;1;4;0,25
1,5;1;4;0,25
1,6;1;4;0,25
1,7;1;3;0,333333333
1,8;1;3;0,333333333
1,9;1;3;0,333333333
2;1;3;0,333333333
2,1;1;3;0,333333333
2,2;1;3;0,333333333
2,3;1;3;0,333333333
2,4;1;3;0,333333333
2,5;1;3;0,333333333
2,6;1;3;0,333333333
2,7;1;3;0,333333333
2,8;1;3;0,333333333
2,9;1;3;0,333333333
3;1;3;0,333333333
3,1;1;3;0,333333333
3,2;1;3;0,333333333
3,3;1;3;0,333333333
3,4;1;3;0,333333333
3,5;1;3;0,333333333
3,6;1;3;0,333333333
3,7;1;3;0,333333333
3,8;1;3;0,333333333
3,9;1;3;0,333333333
4;1;3;0,333333333
4,1;1;3;0,333333333
4,3;1;3;0,333333333
4,5;1;3;0,333333333
4,6;1;3;0,333333333
4,8;1;3;0,333333333
5;1;3;0,333333333
1,1;12;8254;0,001453841
1,2;12;582;0,020618557
1,3;14;177;0,079096045
1,4;15;108;0,138888889
1,5;14;77;0,181818182
1,6;14;50;0,28
1,7;15;47;0,319148936
1,8;28;40;0,7
1,9;28;34;0,823529412
2;59;33;1,787878788
2,1;43;30;1,433333333
2,2;15;30;0,5
